"id","date","fear_greed_index","fear_greed_rating","vix","created_at","qqq_close","smh_close","spx_close","dji_close"
"23128","16/6/2025 00:00:00","61.1143","greed","19.11","12/4/2026 22:56:10","531.72","262.56","6033.11","42515.09"
"23129","17/6/2025 00:00:00","57.4286","greed","21.6","12/4/2026 22:56:10","526.53","260.78","5982.72","42215.8"
"23130","18/6/2025 00:00:00","54.2857","neutral","20.14","12/4/2026 22:56:10","526.44","261.78","5980.87","42171.66"
"23132","20/6/2025 00:00:00","54.5143","neutral","20.62","12/4/2026 22:56:10","524.29","259.46","5967.84","42206.82"
"23133","23/6/2025 00:00:00","56.6","greed","19.83","12/4/2026 22:56:10","529.68","261.11","6025.17","42581.78"
"23134","24/6/2025 00:00:00","57.8857","greed","17.48","12/4/2026 22:56:10","537.78","270.7","6092.18","43089.02"
"23135","25/6/2025 00:00:00","59.2571","greed","16.76","12/4/2026 22:56:10","539.16","274.35","6092.16","42982.43"
"23136","26/6/2025 00:00:00","63","greed","16.59","12/4/2026 22:56:10","544.2","276.34","6141.02","43386.84"
"23137","27/6/2025 00:00:00","64.8","greed","16.32","12/4/2026 22:56:10","546.06","277.56","6173.07","43819.27"
"23138","30/6/2025 00:00:00","69.2286","greed","16.73","12/4/2026 22:56:10","549.6","278.01","6204.95","44094.77"
"23139","1/7/2025 00:00:00","67.5429","greed","16.83","12/4/2026 22:56:10","544.97","274.98","6198.01","44494.94"
"23140","2/7/2025 00:00:00","63.7143","greed","16.64","12/4/2026 22:56:10","548.76","280.38","6227.42","44484.42"
"23141","3/7/2025 00:00:00","77.6286","extreme greed","16.38","12/4/2026 22:56:10","554.16","282.74","6279.35","44828.53"
"23143","7/7/2025 00:00:00","75.0857","extreme greed","17.79","12/4/2026 22:56:10","549.99","278.89","6229.98","44406.36"
"23144","8/7/2025 00:00:00","74.6286","greed","16.81","12/4/2026 22:56:10","550.3","282.6","6225.52","44240.76"
"23145","9/7/2025 00:00:00","75.9143","extreme greed","15.94","12/4/2026 22:56:10","554.19","284.53","6263.26","44458.3"
"22342","5/7/2022 00:00:00","22.1714",,"27.54","12/4/2026 22:56:10","280.35","96.09","3831.39","30967.82"
"22343","6/7/2022 00:00:00","22.8286",,"26.73","12/4/2026 22:56:10","282.14","96.75","3845.08","31037.68"
"22344","7/7/2022 00:00:00","27.6",,"26.08","12/4/2026 22:56:10","288.18","101.21","3902.62","31384.55"
"22345","8/7/2022 00:00:00","31.3429",,"24.64","12/4/2026 22:56:10","288.54","101.76","3899.38","31338.15"
"23146","10/7/2025 00:00:00","76.9714","extreme greed","15.78","12/4/2026 22:56:10","553.4","286.63","6280.46","44650.64"
"23147","11/7/2025 00:00:00","75.2571","extreme greed","16.4","12/4/2026 22:56:10","552.15","286.6","6259.75","44371.51"
"23148","14/7/2025 00:00:00","76.1143","extreme greed","17.2","12/4/2026 22:56:10","554.15","284.43","6268.56","44459.65"
"23149","15/7/2025 00:00:00","73.4857","greed","17.38","12/4/2026 22:56:10","554.66","289.9","6243.76","44023.29"
"23150","16/7/2025 00:00:00","72.9429","greed","17.16","12/4/2026 22:56:10","555.23","288.38","6263.7","44254.78"
"23151","17/7/2025 00:00:00","74.1714","greed","16.52","12/4/2026 22:56:10","559.72","290.81","6297.36","44484.49"
"23152","18/7/2025 00:00:00","73.9429","greed","16.41","12/4/2026 22:56:10","559.18","289.41","6296.79","44342.19"
